payment_id,user_id,instrument_id,amount,purpose,created_ts,method
pay_8ec4f5688dcc43,u_d0fd40511d,card_1c549d55672c43,149.2,referral_bonus_payout,2026-07-05T04:41:51,card
pay_cd4066bc7faf47,u_182c39a6f9,card_1c549d55672c43,146.89,referral_bonus_payout,2026-07-05T11:15:37,card
pay_6091c3e63f124c,u_beb6812898,card_91f5e9eec83147,291.3,referral_bonus_payout,2026-07-05T18:26:13,card
pay_921373e7348946,u_e11c2da9cf,card_91f5e9eec83147,397.88,referral_bonus_payout,2026-07-05T11:53:54,card
pay_7ac727f6ce7f45,u_7bafed4a6d,lakshitupadhyay@okhdfcbank,429.28,referral_bonus_payout,2026-07-03T07:17:54,upi
pay_06e0269298824d,u_9afc0d79a2,card_430622d0e5fe4c,305.23,referral_bonus_payout,2026-07-03T09:38:26,card
pay_be4143b3946747,u_4d8fa44cde,lakshitupadhyay@okhdfcbank,498.8,referral_bonus_payout,2026-07-03T07:55:38,upi
pay_3f79fd095b5648,u_be817711e0,lakshitupadhyay@okhdfcbank,223.15,referral_bonus_payout,2026-07-03T07:39:50,upi
pay_7371d476224f4f,u_099aa05580,lakshitupadhyay@okhdfcbank,203.08,referral_bonus_payout,2026-07-03T06:41:02,upi
pay_de1b0d0a7f4e46,u_21058763eb,card_430622d0e5fe4c,184.3,referral_bonus_payout,2026-07-03T07:49:49,card
pay_4cd0514862d245,u_ecc9c67081,card_430622d0e5fe4c,445.42,referral_bonus_payout,2026-07-03T08:16:24,card
pay_dae41271d08b47,u_2928833ae5,card_430622d0e5fe4c,476.08,referral_bonus_payout,2026-07-03T10:07:36,card
pay_c6b0d1e96db14f,u_989b494b26,lakshitupadhyay@okhdfcbank,352.26,referral_bonus_payout,2026-07-03T09:30:26,upi
pay_bb6716a087ff48,u_612f1d4fe4,card_430622d0e5fe4c,314.74,referral_bonus_payout,2026-07-03T07:19:56,card
pay_c03c8937ec8945,u_e3c296b9fa,card_430622d0e5fe4c,81.89,referral_bonus_payout,2026-07-03T07:09:58,card
pay_38a82ab9058646,u_56dce2a511,choudhuryfaqid@okicici,136.22,referral_bonus_payout,2026-07-20T10:07:16,upi
pay_3b9d3724772542,u_7f2c7a6082,choudhuryfaqid@okicici,437.61,referral_bonus_payout,2026-07-21T07:10:14,upi
