user_id,name,phone,email,signup_ts,signup_ip,device_id,referred_by,cluster_id,cluster_type,kyc_address_hash,payment_instrument_id,bonus_amount_claimed,num_txn_post_signup,total_txn_value_post_signup,active_days_post_signup
u_aa9fcf81d4,Abhiram Agrawal,4999445744,imaran07@yahoo.com,2026-03-31T11:12:12,158.60.42.208,dev_6551fab55d99,u_2bb6dc8654,ring_153,FRAUD_RING,addr_6761886154,card_9ad15b4b03d347,289.63,1,2133.19,0
u_7b5d4c1d8f,Maya Virk,5793585203,ikshita92@yahoo.com,2026-03-10T20:28:26,21.31.86.25,dev_4de6b3814ce7,,,ORGANIC_SINGLE,addr_4393071299,card_aa849085f9094c,469.37,2,2428.72,13
u_5d432ca03b,Triya Srinivasan,4354978729,epathak@gmail.com,2026-07-14T09:21:47,58.55.188.62,dev_6c6198a26082,u_e57bbe9369,ring_145,FRAUD_RING,addr_6738392744,rborra@ybl,333.89,0,0,0
u_e7cac30bd0,Jeremiah Mody,6536763072,ddayal@yahoo.com,2026-07-26T08:04:54,125.181.155.30,dev_382a2575a77c,,,ORGANIC_SINGLE,addr_3229738465,card_b813afc863d14b,168.89,40,61903.4,32
u_52ec14b2e5,Lopa Padmanabhan,6926920327,hemataneja@gmail.com,2026-04-11T15:52:41.530731,9.149.101.54,dev_5345c930b133,u_fa1a98bd5a,fam_37,FAMILY_FRIEND,addr_1930110652,balveer79@okicici,309.91,11,16450.86,132
u_969fe12072,Xavier Minhas,8077345130,etareddy@gmail.com,2026-05-20T14:46:39,62.160.0.82,dev_5cecfc1fe1f9,,,ORGANIC_SINGLE,addr_8633126298,mbahl@okhdfcbank,391.14,34,50611.03,148
u_f5cd9fe387,Utkarsh Raj,9633949520,vdin@yahoo.com,2026-06-15T22:02:17,63.96.87.112,dev_10ccb9bac51a,,,ORGANIC_SINGLE,addr_9406964304,jmall@paytm,252.64,2,3448.02,4
u_e341029444,Dayamai Gala,4843757928,tdatta@gmail.com,2026-05-01T10:04:07,188.172.126.209,dev_7ddd23a5e07a,,,ORGANIC_SINGLE,addr_4479539940,card_8dcdfcd88d4642,289.61,10,15579.66,62
u_e22a8ed889,Kala Yogi,5864702601,qbasu@yahoo.com,2026-06-28T15:18:24,55.141.161.127,dev_b2d629ff6819,,,ORGANIC_SINGLE,addr_7195568190,ekalingajain@ybl,249.17,6,12214.97,21
u_991c4bb96d,Yahvi Grover,2075704648,turvibuch@yahoo.com,2026-05-11T00:46:57,74.92.160.144,dev_c7874e866a71,,,ORGANIC_SINGLE,addr_9989517381,upadhritisibal@paytm,233.5,22,33434.5,99
u_92dbcb2f74,Irya Shan,1742718322,arjun23@hotmail.com,2026-06-13T02:12:12.170871,51.248.173.215,dev_6026d7a261a8,u_f46f3a8cb5,fam_35,FAMILY_FRIEND,addr_9447220712,card_812d44030f8f47,147.91,0,0,2
u_a95e47d2e4,Tanvi Verma,3847040227,ronith00@hotmail.com,2026-06-21T05:41:57,54.155.246.109,dev_021ca674db97,,,ORGANIC_SINGLE,addr_8790196254,zarnagoswami@ybl,454.41,13,17806.9,101
u_9645d54362,Tanveer Kalita,9396304461,kashish63@yahoo.com,2026-04-24T13:43:28,198.78.19.242,dev_b2b460bdc18a,,,ORGANIC_SINGLE,addr_1908941568,card_47d32a58e9924b,481.17,6,7455.54,22
u_e963d49905,Jyoti Sampath,7955462347,devanzayan@yahoo.com,2026-04-13T15:22:15,218.71.150.118,dev_3318b36a1704,u_7cf7f6d116,ring_90,FRAUD_RING,addr_2569368103,card_26704894a3ed48,416.17,0,0,0
u_672f9b5435,Eshana Mannan,1857235019,triveni37@yahoo.com,2026-06-18T05:56:04.958435,208.110.209.238,dev_0789f80d5ba9,u_00f51e6caa,fam_71,FAMILY_FRIEND,addr_8964404270,oeshibrar@paytm,488.54,35,57262.74,117
u_4f6bc39226,Yadavi Zachariah,8791439546,randhawaisha@hotmail.com,2026-07-12T07:58:15,158.160.147.167,dev_e73c3ab5bbef,,,ORGANIC_SINGLE,addr_6239789246,umangrastogi@okicici,155.77,5,10026.78,66
u_7b894c667b,Kritika Padmanabhan,8761238595,krishnamurthyrehaan@yahoo.com,2026-04-30T17:57:55,134.117.156.163,dev_565d853a1f39,u_8cec3d1c20,ring_85,FRAUD_RING,addr_2651974563,harshil40@paytm,290.45,0,0,2
u_d603e7e2b4,Sarthak Dayal,8072724739,naveen31@yahoo.com,2026-06-05T05:13:05,54.66.241.253,dev_552564f2bd2a,,,ORGANIC_SINGLE,addr_8108913376,sidhuparth@ybl,304.39,32,47409.68,78
u_37a9ba014c,Yochana Kalla,8887632052,vtiwari@hotmail.com,2026-04-29T06:12:52,194.153.80.89,dev_6f98b95830f0,,,ORGANIC_SINGLE,addr_8123996672,card_2ee6d62e09c241,499.84,9,18398.3,31
u_98a847aa9f,Liam Randhawa,9676189930,routviraj@yahoo.com,2026-05-07T22:39:38,68.98.48.186,dev_5efb0085f97d,,,ORGANIC_SINGLE,addr_9560977716,biswasmahika@ybl,481.13,25,40439.99,146
u_b7ba2c9e21,Nicholas Bhalla,8253458994,isrinivasan@hotmail.com,2026-07-26T01:21:54,141.120.2.196,dev_fbfbe3091f29,,,ORGANIC_SINGLE,addr_7928062327,ranganathandarpan@okhdfcbank,331.03,33,46776.79,125
u_a28a4f77a2,Zilmil Krishnamurthy,2287056227,ahluwaliadevika@hotmail.com,2026-04-28T21:09:34,42.217.212.36,dev_7529ed79530c,,ring_61,FRAUD_RING,addr_4234952190,ktandon@ybl,469.92,0,0,0
u_d1d28d0214,Ekantika Chaudhari,7852945637,wasontanish@yahoo.com,2026-06-07T11:32:34,206.229.45.220,dev_cfb43acfc804,u_572f4826b1,ring_38,FRAUD_RING,addr_3680742212,card_e19cb8638bf74e,483.43,6,11301.77,12
u_a9772020f1,Bhanumati Samra,1356722343,doshivincent@hotmail.com,2026-05-12T04:55:59,61.204.155.66,dev_1084f487ad5c,,,ORGANIC_SINGLE,addr_2926103626,card_0cb9505e222743,316.93,26,40072.67,73
u_872d8416a2,Harrison Raj,6257312536,dattaridhi@yahoo.com,2026-03-25T15:09:31.484405,179.202.119.147,dev_4db7632494ed,u_cc0a7cde49,fam_80,FAMILY_FRIEND,addr_6248840499,gopalpatla@ybl,451.2,10,14465.49,99
u_801bc3be37,Indrajit Gour,7465421406,dnatarajan@yahoo.com,2026-07-16T21:03:49,85.39.121.89,dev_268e3b2f3b84,u_08ec4420c9,ring_32,FRAUD_RING,addr_7518370557,card_ef9b963974594b,93.16,0,0,0
u_6a9550ebe5,Qushi Krish,3854389384,matthew35@yahoo.com,2026-05-21T22:07:57,13.21.198.12,dev_8ec59bb544b8,,,ORGANIC_SINGLE,addr_3429819733,card_187bc353237546,85.17,6,10598.05,18
u_f5f4e4e0f7,Riya Rastogi,2746053044,theodoretara@yahoo.com,2026-04-09T19:03:46,32.205.4.44,dev_d9a3a59302b5,,,ORGANIC_SINGLE,addr_4546745093,charles43@ybl,173.6,1,1253.58,5
u_bbf7e3269f,Wahab Dutta,3775641089,kala20@yahoo.com,2026-04-09T05:19:56.273222,199.212.186.198,dev_5d57f12cc655,u_d4ce561bc7,fam_287,FAMILY_FRIEND,addr_4260878156,bathlibni@ybl,335.48,6,10948.17,3
u_aa9a279774,Vedika Sen,6050630663,xanand@gmail.com,2026-06-16T10:33:29,89.157.231.112,dev_e3ed80c87ce1,,ring_118,FRAUD_RING,addr_145915204,mannmadhavi@ybl,228.9,2,3152.93,2
u_a0c33be56c,Michael Gara,1471844611,mbiswas@yahoo.com,2026-04-28T20:03:12,33.103.70.140,dev_8f9e6cd5bfe1,,,ORGANIC_SINGLE,addr_7291459172,card_2f2be0b9f5fc4f,135.17,10,20073.37,148
u_46d09c9e5d,Vidhi Butala,1082627756,sarafanthony@yahoo.com,2026-05-02T09:26:48.586351,146.137.40.206,dev_564d34dab934,u_944adbd550,fam_208,FAMILY_FRIEND,addr_4524512345,wbasu@paytm,165.7,38,55230.99,118
